database_name,database_engine,aws_region,cpu_cores,cpu_utilization,ram_gb,ram_utilization,storage_gb,iops,growth_rate,backup_days,projection_years,data_transfer_gb
ProductionDB,postgres,us-east-1,16,75,64,80,2000,12000,20,7,3,500
StagingDB,postgres,us-east-1,8,60,32,70,1000,8000,15,7,3,200
DevDB,postgres,us-east-1,4,45,16,50,500,3000,10,3,3,50
AnalyticsDB,aurora-postgresql,us-west-2,12,85,96,90,5000,15000,25,14,3,1000
LegacyOracle,oracle-ee,us-east-1,24,70,128,75,3000,20000,10,30,3,800
TestMySQL,aurora-mysql,eu-west-1,6,55,24,65,800,6000,12,7,3,100
HRDB,sqlserver,us-east-1,8,60,32,70,1200,8000,8,7,3,150
ReportingDB,aurora-postgresql,us-west-1,16,80,64,85,4000,16000,30,21,3,600
ProductionDB,sqlserver,us-east-1,12,85,96,90,5000,15000,25,14,3,1000
DevDBMktg,postgres,us-east-1,8,60,32,70,1200,8000,8,7,3,150
LegacyOracle245,oracle-ee,us-east-1,16,80,64,85,4000,16000,30,21,3,600
